rank	accession	first_public_panel_n
110	GCA_051054295.1	200
111	GCA_030291895.1	200
112	GCA_032595875.2	200
113	GCA_005697565.1	200
114	GCA_018127985.1	200
115	GCA_016925535.1	200
116	GCA_024347375.1	200
117	GCA_037965315.1	200
118	GCA_003945345.1	200
119	GCA_018736045.1	200
120	GCA_036670015.1	200
121	GCA_019774615.1	200
122	GCA_000223215.1	200
123	GCA_900660675.1	200
124	GCA_000015605.1	200
125	GCA_009901525.1	200
126	GCA_002381365.1	200
127	GCA_028532485.1	200
128	GCA_044789135.1	200
129	GCA_003293695.1	200
130	GCA_000767055.1	200
131	GCA_032842945.2	200
132	GCA_036511535.1	200
133	GCA_009730295.1	200
134	GCA_028609845.1	200
135	GCA_018141425.1	200
136	GCA_022788655.1	200
137	GCA_002368455.1	200
138	GCA_033977085.1	200
139	GCA_001633145.1	200
140	GCA_000746585.2	200
141	GCA_000218895.1	200
142	GCA_044784365.2	200
143	GCA_022827545.1	200
144	GCA_022220465.1	200
145	GCA_003325355.1	200
146	GCA_003443635.1	200
147	GCA_009429145.1	200
148	GCA_000020365.1	200
149	GCA_033127725.1	200
150	GCA_021049245.1	200
151	GCA_051257795.1	200
152	GCA_001718555.1	200
153	GCA_004792515.1	200
154	GCA_001685435.3	200
155	GCA_019457435.1	200
156	GCA_001693655.1	200
157	GCA_005862185.2	200
158	GCA_045039925.1	200
159	GCA_001611975.1	200
160	GCA_030297135.1	200
161	GCA_001902295.1	200
162	GCA_030142075.1	200
163	GCA_016605905.1	200
164	GCA_027627435.1	200
165	GCA_046850195.1	200
166	GCA_007751035.1	200
167	GCA_003595605.1	200
168	GCA_003722295.1	200
169	GCA_000284155.1	200
170	GCA_036227165.1	200
171	GCA_021496925.1	200
172	GCA_025252405.1	200
173	GCA_046245125.2	200
174	GCA_014334095.1	200
175	GCA_002310835.1	200
176	GCA_001983995.1	200
177	GCA_029227815.1	200
178	GCA_019226825.1	200
179	GCA_003595545.1	200
180	GCA_048005415.1	200
181	GCA_008386395.1	200
182	GCA_004296515.1	200
183	GCA_900095885.1	200
184	GCA_020911845.1	200
185	GCA_900637865.1	200
186	GCA_002356215.1	200
187	GCA_050870795.1	200
188	GCA_020844025.1	200
189	GCA_016894445.1	200
190	GCA_051903035.1	200
191	GCA_011801245.1	200
192	GCA_040589265.1	200
193	GCA_011578285.1	200
194	GCA_003627775.1	200
195	GCA_019048745.1	200
196	GCA_004564075.1	200
197	GCA_014764405.1	200
198	GCA_049244175.1	200
199	GCA_015624505.1	200
200	GCA_900465355.1	200
201	GCA_030505695.1	500
202	GCA_030178475.1	500
203	GCA_001262015.1	500
204	GCA_036346595.1	500
205	GCA_003953885.1	500
206	GCA_031326345.1	500
207	GCA_011516625.5	500
208	GCA_023380265.1	500
209	GCA_050156935.1	500
210	GCA_024346995.1	500
211	GCA_014084005.1	500
212	GCA_030296895.1	500
213	GCA_000010085.1	500
214	GCA_003798325.1	500
215	GCA_050949235.1	500
216	GCA_000007485.1	500
217	GCA_009937975.1	500
218	GCA_045041065.1	500
219	GCA_025560745.1	500
220	GCA_001308105.1	500
221	GCA_030167965.1	500
222	GCA_003667765.1	500
223	GCA_024220175.1	500
224	GCA_004114955.1	500
225	GCA_047041125.1	500
226	GCA_030296575.1	500
227	GCA_002893765.1	500
228	GCA_028609805.1	500
229	GCA_045276905.1	500
230	GCA_019343105.1	500
231	GCA_014863525.1	500
232	GCA_025144335.1	500
233	GCA_009363775.1	500
234	GCA_965246865.1	500
235	GCA_036178145.1	500
236	GCA_040448525.1	500
237	GCA_018200035.1	500
238	GCA_001713435.1	500
239	GCA_002313045.1	500
240	GCA_022870985.1	500
241	GCA_045207455.1	500
242	GCA_004291175.2	500
243	GCA_014905135.1	500
244	GCA_023278385.1	500
245	GCA_011397115.1	500
246	GCA_029873535.1	500
247	GCA_000020625.1	500
248	GCA_027474825.2	500
249	GCA_008087625.1	500
250	GCA_000012145.1	500
251	GCA_050988725.1	500
252	GCA_019977835.1	500
253	GCA_900660665.1	500
254	GCA_045206285.1	500
255	GCA_019134595.1	500
256	GCA_000093025.1	500
257	GCA_050948485.1	500
258	GCA_003288315.1	500
259	GCA_014083885.1	500
260	GCA_047323925.1	500
261	GCA_034371605.1	500
262	GCA_022811645.1	500
263	GCA_029229465.1	500
264	GCA_050847355.1	500
265	GCA_040833995.1	500
266	GCA_030295325.1	500
267	GCA_036894235.1	500
268	GCA_024760225.1	500
269	GCA_021495975.1	500
270	GCA_014789785.1	500
271	GCA_045160025.1	500
272	GCA_018847975.1	500
273	GCA_023988885.1	500
274	GCA_045291515.1	500
275	GCA_024346875.1	500
276	GCA_010731715.1	500
277	GCA_013393925.1	500
278	GCA_035991645.1	500
279	GCA_020616155.1	500
280	GCA_048572965.1	500
281	GCA_003584565.3	500
282	GCA_036232025.1	500
283	GCA_003441595.1	500
284	GCA_048565265.1	500
285	GCA_034359465.1	500
286	GCA_046717775.1	500
287	GCA_032806925.1	500
288	GCA_009906835.1	500
289	GCA_023716845.1	500
290	GCA_004353225.1	500
291	GCA_000014265.1	500
292	GCA_043187485.1	500
293	GCA_043099725.1	500
294	GCA_900660755.1	500
295	GCA_000828735.1	500
296	GCA_047275845.1	500
297	GCA_050572635.1	500
298	GCA_033095825.1	500
299	GCA_965118125.1	500
300	GCA_024605895.1	500
301	GCA_008118345.1	500
302	GCA_052063255.1	500
303	GCA_003433515.1	500
304	GCA_033335955.1	500
305	GCA_000025005.1	500
306	GCA_016864535.1	500
307	GCA_026626125.1	500
308	GCA_050956065.1	500
309	GCA_000014465.1	500
310	GCA_024137965.1	500
311	GCA_031195445.1	500
312	GCA_027912455.1	500
313	GCA_046764375.1	500
314	GCA_001922365.1	500
315	GCA_018459925.1	500
316	GCA_000948985.2	500
317	GCA_027912835.1	500
318	GCA_047305335.1	500
319	GCA_045571445.1	500
320	GCA_039696685.1	500
321	GCA_041893525.1	500
322	GCA_045040605.1	500
323	GCA_045571465.1	500
324	GCA_027362595.1	500
325	GCA_019968685.1	500
326	GCA_023380245.1	500
327	GCA_030908605.1	500
328	GCA_000261045.2	500
329	GCA_033798705.1	500
330	GCA_046529545.1	500
331	GCA_003609835.1	500
332	GCA_000013045.1	500
333	GCA_029919255.1	500
334	GCA_019355395.1	500
335	GCA_000015265.1	500
336	GCA_003206515.1	500
337	GCA_023100665.1	500
338	GCA_003030465.1	500
339	GCA_041200145.1	500
340	GCA_050954615.1	500
341	GCA_047325135.1	500
342	GCA_003966715.1	500
343	GCA_001953075.1	500
344	GCA_051307035.1	500
345	GCA_964031135.1	500
346	GCA_003428335.1	500
347	GCA_002157225.2	500
348	GCA_039858645.1	500
349	GCA_038024165.1	500
350	GCA_045208415.1	500
351	GCA_029392135.1	500
352	GCA_014189505.1	500
353	GCA_012516475.1	500
354	GCA_003019815.1	500
355	GCA_040314805.1	500
356	GCA_027924845.1	500
357	GCA_001931675.1	500
358	GCA_045207295.1	500
359	GCA_052056295.1	500
360	GCA_014681765.1	500
361	GCA_037126435.1	500
362	GCA_034347405.1	500
363	GCA_004358445.1	500
364	GCA_000264945.2	500
365	GCA_000183725.1	500
366	GCA_000949425.1	500
367	GCA_045277725.1	500
368	GCA_023716665.1	500
369	GCA_031884875.1	500
370	GCA_026248825.1	500
371	GCA_030316605.1	500
372	GCA_024362325.1	500
373	GCA_001277295.1	500
374	GCA_016756495.1	500
375	GCA_005222165.1	500
376	GCA_014109865.1	500
377	GCA_009834125.1	500
378	GCA_048302465.1	500
379	GCA_048307575.1	500
380	GCA_024582835.1	500
381	GCA_021729425.1	500
382	GCA_050211005.1	500
383	GCA_001891125.1	500
384	GCA_050949265.1	500
385	GCA_015482775.1	500
386	GCA_047303345.1	500
387	GCA_014236795.1	500
388	GCA_009176745.1	500
389	GCA_048541585.1	500
390	GCA_003410315.1	500
391	GCA_005280735.1	500
392	GCA_047324295.1	500
393	GCA_000026445.2	500
394	GCA_000020685.1	500
395	GCA_013154915.1	500
396	GCA_025137375.1	500
397	GCA_024453815.1	500
398	GCA_013146785.1	500
399	GCA_023634805.2	500
400	GCA_003967035.1	500
401	GCA_963360705.1	500
402	GCA_002407505.1	500
403	GCA_009873495.1	500
404	GCA_031198785.1	500
405	GCA_050507325.1	500
406	GCA_050235535.1	500
407	GCA_051125215.1	500
408	GCA_026278265.1	500
409	GCA_018336615.1	500
410	GCA_000784875.3	500
411	GCA_009495655.1	500
412	GCA_030506325.1	500
413	GCA_041871525.1	500
414	GCA_905175385.2	500
415	GCA_004328665.1	500
416	GCA_041468075.1	500
417	GCA_015291645.1	500
418	GCA_046097495.1	500
419	GCA_004028275.1	500
420	GCA_022410435.1	500
421	GCA_051294865.1	500
422	GCA_050555575.1	500
423	GCA_051603415.1	500
424	GCA_030064145.1	500
425	GCA_902829275.1	500
426	GCA_002192355.1	500
427	GCA_038789205.1	500
428	GCA_003990705.1	500
429	GCA_002935105.1	500
430	GCA_964026425.1	500
431	GCA_037940415.1	500
432	GCA_029714405.1	500
433	GCA_041464105.1	500
434	GCA_045999815.1	500
435	GCA_036347035.1	500
436	GCA_000012805.1	500
437	GCA_001521855.1	500
438	GCA_041897515.1	500
439	GCA_047224505.1	500
440	GCA_051524405.1	500
441	GCA_018798825.1	500
442	GCA_017310035.1	500
443	GCA_003100395.1	500
444	GCA_000016985.1	500
445	GCA_030272265.2	500
446	GCA_041200175.1	500
447	GCA_027946175.1	500
448	GCA_006159205.1	500
449	GCA_022637375.2	500
450	GCA_044218835.1	500
451	GCA_019443745.1	500
452	GCA_900095135.1	500
453	GCA_024758885.1	500
454	GCA_046717515.1	500
455	GCA_050500165.1	500
456	GCA_022865125.1	500
457	GCA_001650235.3	500
458	GCA_050558525.1	500
459	GCA_022024335.1	500
460	GCA_000772105.1	500
461	GCA_001465175.1	500
462	GCA_049943125.1	500
463	GCA_000521505.1	500
464	GCA_018326305.1	500
465	GCA_018223845.1	500
466	GCA_019977335.1	500
467	GCA_008329645.1	500
468	GCA_025402855.1	500
469	GCA_002288285.1	500
470	GCA_001971625.1	500
471	GCA_028009925.1	500
472	GCA_000263195.1	500
473	GCA_032595855.2	500
474	GCA_051549845.1	500
475	GCA_000723465.1	500
476	GCA_029144185.1	500
477	GCA_021049325.1	500
478	GCA_001718415.1	500
479	GCA_028551275.1	500
480	GCA_007289895.1	500
481	GCA_044053135.1	500
482	GCA_050558105.1	500
483	GCA_039725955.1	500
484	GCA_039621635.1	500
485	GCA_001936175.1	500
486	GCA_001305595.1	500
487	GCA_018127705.1	500
488	GCA_006542375.1	500
489	GCA_003060825.1	500
490	GCA_016469055.2	500
491	GCA_014697215.1	500
492	GCA_029916965.1	500
493	GCA_000968195.1	500
494	GCA_018282115.1	500
495	GCA_002028405.1	500
496	GCA_016918765.2	500
497	GCA_023921145.1	500
498	GCA_050821495.1	500
499	GCA_006742785.1	500
500	GCA_030064065.1	500
